GrapNet	arxiv	arxiv:2606.18923; paper-only, no implementation located in sweep	dynamic executable architecture graph: GrapNode vector parent interfaces	float32	programmable dynamic neural graph substrate	programmable-neural-graph/continual-learning	2026	arXiv:2606.18923; date=2026-06-17; distinct primitive: network topology is an editable executable child-owned graph with trainable allocation vectors and topology edits reflected in parameter coordinates; grep-verified absent via GrapNet/GrapNode/dynamic-architecture neural graph/graph-as-network.
AutoencoderKLFlux2	diffusers	diffusers.models.AutoencoderKLFlux2()	(1, channels, height, width) or latent image tensor; class-specific forward	float32	flux-2 mmdit	vision/generative	2025-2026	diffusers_0.38.0_module=autoencoders.autoencoder_kl_flux2; cataloged from installed signature after tiny-probe invariant failure; use recipe/defaults with random init
AutoencoderKLHunyuanImage	diffusers	diffusers.models.AutoencoderKLHunyuanImage(in_channels=3, out_channels=3, latent_channels=4, block_out_channels=(8,), layers_per_block=1, spatial_compression_ratio=2, sample_size=8)	(1, channels, height, width) or latent image tensor; class-specific forward	float32	hunyuanimage dit	vision/generative	2022-2024	diffusers_0.38.0_module=autoencoders.autoencoder_kl_hunyuanimage; cataloged from installed signature after tiny-probe invariant failure; use recipe/defaults with random init
AutoencoderKLHunyuanImageRefiner	diffusers	diffusers.models.AutoencoderKLHunyuanImageRefiner()	(1, channels, height, width) or latent image tensor; class-specific forward	float32	hunyuanimage dit	vision/generative	2022-2024	diffusers_0.38.0_module=autoencoders.autoencoder_kl_hunyuanimage_refiner; cataloged from installed signature after tiny-probe invariant failure; use recipe/defaults with random init
AutoencoderKLHunyuanVideo	diffusers	diffusers.models.AutoencoderKLHunyuanVideo(in_channels=4, out_channels=4, latent_channels=8, down_block_types=('HunyuanVideoDownBlock3D', 'HunyuanVideoDownBlock3D', 'HunyuanVideoDownBlock3D', 'HunyuanVideoDownBlock3D'), up_block_types=('HunyuanVideoUpBlock3D', 'HunyuanVideoUpBlock3D', 'HunyuanVideoUpBlock3D', 'HunyuanVideoUpBlock3D'), block_out_channels=(8, 8, 8, 8), layers_per_block=1, norm_num_groups=1)	(1, frames, channels, height, width) or latent video tensor; class-specific forward	float32	hunyuanvideo dit	video/generative	2022-2024	diffusers_0.38.0_module=autoencoders.autoencoder_kl_hunyuan_video; ctor_verified_tiny_random_init_params=74412
AutoencoderKLHunyuanVideo15	diffusers	diffusers.models.AutoencoderKLHunyuanVideo15(in_channels=4, out_channels=4, latent_channels=8, block_out_channels=(8, 8, 8, 8, 8), layers_per_block=1)	(1, frames, channels, height, width) or latent video tensor; class-specific forward	float32	hunyuanvideo-1.5 dit	video/generative	2025-2026	diffusers_0.38.0_module=autoencoders.autoencoder_kl_hunyuanvideo15; ctor_verified_tiny_random_init_params=116794
AutoencoderKLKVAE	diffusers	diffusers.models.AutoencoderKLKVAE()	(1, channels, height, width) or latent image tensor; class-specific forward	float32	kling kvae	vision/generative	2022-2024	diffusers_0.38.0_module=autoencoders.autoencoder_kl_kvae; cataloged from installed signature after tiny-probe invariant failure; use recipe/defaults with random init
AutoencoderKLKVAEVideo	diffusers	diffusers.models.AutoencoderKLKVAEVideo()	(1, frames, channels, height, width) or latent video tensor; class-specific forward	float32	kling video kvae	video/generative	2022-2024	diffusers_0.38.0_module=autoencoders.autoencoder_kl_kvae_video; cataloged from installed signature after tiny-probe invariant failure; use recipe/defaults with random init
AutoencoderKLLTX2Audio	diffusers	diffusers.models.AutoencoderKLLTX2Audio(base_channels=8, output_channels=4, ch_mult=(8, 8, 8), num_res_blocks=1, in_channels=4, resolution=8, latent_channels=8)	(1, channels, length) / see constructor notes	float32	ltx2 video/audio	audio/generative	2024-2025	diffusers_0.38.0_module=autoencoders.autoencoder_kl_ltx2_audio; ctor_verified_tiny_random_init_params=1092668
AutoencoderKLLTX2Video	diffusers	diffusers.models.AutoencoderKLLTX2Video(in_channels=4, out_channels=4, latent_channels=8, block_out_channels=(8, 8, 8, 8), down_block_types=('LTX2VideoDownBlock3D', 'LTX2VideoDownBlock3D', 'LTX2VideoDownBlock3D', 'LTX2VideoDownBlock3D'), decoder_block_out_channels=(8, 8, 8), layers_per_block=(1, 1, 1, 1, 1), decoder_layers_per_block=(1, 1, 1, 1), spatio_temporal_scaling=(True, True, True, True), patch_size=8, patch_size_t=1)	(1, frames, channels, height, width) or latent video tensor; class-specific forward	float32	ltx2 video/audio	video/generative	2024-2025	diffusers_0.38.0_module=autoencoders.autoencoder_kl_ltx2; ctor_verified_tiny_random_init_params=134257
AutoencoderKLLTXVideo	diffusers	diffusers.models.AutoencoderKLLTXVideo(in_channels=4, out_channels=4, latent_channels=8, block_out_channels=(8, 8, 8, 8), down_block_types=('LTXVideoDownBlock3D', 'LTXVideoDownBlock3D', 'LTXVideoDownBlock3D', 'LTXVideoDownBlock3D'), decoder_block_out_channels=(8, 8, 8, 8), layers_per_block=(1, 1, 1, 1, 1), decoder_layers_per_block=(1, 1, 1, 1, 1), spatio_temporal_scaling=(True, True, True, False), patch_size=8, patch_size_t=1)	(1, frames, channels, height, width) or latent video tensor; class-specific forward	float32	ltx video/audio	video/generative	2024-2025	diffusers_0.38.0_module=autoencoders.autoencoder_kl_ltx; ctor_verified_tiny_random_init_params=196137
AutoencoderKLMagvit	diffusers	diffusers.models.AutoencoderKLMagvit(in_channels=4, latent_channels=8, out_channels=4, block_out_channels=[8, 8, 8, 8], down_block_types=['SpatialDownBlock3D', 'SpatialTemporalDownBlock3D', 'SpatialTemporalDownBlock3D', 'SpatialTemporalDownBlock3D'], up_block_types=['SpatialUpBlock3D', 'SpatialTemporalUpBlock3D', 'SpatialTemporalUpBlock3D', 'SpatialTemporalUpBlock3D'], layers_per_block=1, norm_num_groups=1)	(1, channels, height, width) or latent image tensor; class-specific forward	float32	magvit vae	vision/generative	2022-2024	diffusers_0.38.0_module=autoencoders.autoencoder_kl_magvit; ctor_verified_tiny_random_init_params=66796
AutoencoderKLMochi	diffusers	diffusers.models.AutoencoderKLMochi()	(1, frames, channels, height, width) or latent video tensor; class-specific forward	float32	mochi video dit	video/generative	2024-2025	diffusers_0.38.0_module=autoencoders.autoencoder_kl_mochi; cataloged from installed signature after tiny-probe invariant failure; use recipe/defaults with random init
AutoencoderKLQwenImage	diffusers	diffusers.models.AutoencoderKLQwenImage(base_dim=8, z_dim=8, dim_mult=[8, 8, 8, 8], num_res_blocks=1, input_channels=4)	(1, channels, height, width) or latent image tensor; class-specific forward	float32	qwen-image dit	vision/generative	2025-2026	diffusers_0.38.0_module=autoencoders.autoencoder_kl_qwenimage; ctor_verified_tiny_random_init_params=3610652
AutoencoderKLTemporalDecoder	diffusers	diffusers.models.AutoencoderKLTemporalDecoder(block_out_channels=(8,), sample_size=8)	(1, frames, channels, height, width) or latent video tensor; class-specific forward	float32	autoencoder/vae	video/generative	2022-2024	diffusers_0.38.0_module=autoencoders.autoencoder_kl_temporal_decoder; cataloged from installed signature after tiny-probe invariant failure; use recipe/defaults with random init
AutoencoderKLWan	diffusers	diffusers.models.AutoencoderKLWan(base_dim=8, decoder_base_dim=8, z_dim=8, dim_mult=[8, 8, 8, 8], num_res_blocks=1, in_channels=4, out_channels=4, patch_size=8)	(1, frames, channels, height, width) or latent video tensor; class-specific forward	float32	wan video dit	video/generative	2025-2026	diffusers_0.38.0_module=autoencoders.autoencoder_kl_wan; ctor_verified_tiny_random_init_params=3610652
AutoencoderOobleck	diffusers	diffusers.models.AutoencoderOobleck(encoder_hidden_size=8, decoder_channels=8, decoder_input_channels=8, audio_channels=4)	(1, channels, length) / see constructor notes	float32	oobleck audio autoencoder	audio/generative	2022-2024	diffusers_0.38.0_module=autoencoders.autoencoder_oobleck; ctor_verified_tiny_random_init_params=621644
AutoencoderRAE	diffusers	diffusers.models.AutoencoderRAE()	(1, channels, height, width) or latent image tensor; class-specific forward	float32	representation autoencoder	vision/generative	2022-2024	diffusers_0.38.0_module=autoencoders.autoencoder_rae; cataloged from installed signature after tiny-probe invariant failure; use recipe/defaults with random init
AutoencoderTiny	diffusers	diffusers.models.AutoencoderTiny(encoder_block_out_channels=(8,), decoder_block_out_channels=(8,), num_encoder_blocks=(1,), num_decoder_blocks=(1,), latent_channels=4)	(1, channels, height, width) or latent image tensor; class-specific forward	float32	tiny autoencoder	vision/generative	2022-2024	diffusers_0.38.0_module=autoencoders.autoencoder_tiny; cataloged from installed signature after tiny-probe invariant failure; use recipe/defaults with random init
AutoencoderVidTok	diffusers	diffusers.models.AutoencoderVidTok(in_channels=4, out_channels=4, ch=8, ch_mult=[8, 8, 8, 8], z_channels=8, num_res_blocks=1, codebook_size=8)	(1, channels, height, width) or latent image tensor; class-specific forward	float32	vidtok tokenizer	vision/generative	2022-2024	diffusers_0.38.0_module=autoencoders.autoencoder_vidtok; ctor_verified_tiny_random_init_params=2790672
BriaFiboTransformer2DModel	diffusers	diffusers.models.BriaFiboTransformer2DModel(patch_size=8, in_channels=4, num_layers=1, num_single_layers=1, attention_head_dim=8, num_attention_heads=1, joint_attention_dim=8, pooled_projection_dim=8, axes_dims_rope=(2, 2, 4), text_encoder_dim=8)	(1, channels, height, width) or latent image tensor; class-specific forward	float32	bria-fibo dit	vision/generative	2024-2025	diffusers_0.38.0_module=transformers.transformer_bria_fibo; ctor_verified_tiny_random_init_params=8392
BriaTransformer2DModel	diffusers	diffusers.models.BriaTransformer2DModel(patch_size=8, in_channels=4, num_layers=1, num_single_layers=1, attention_head_dim=8, num_attention_heads=1, joint_attention_dim=8, pooled_projection_dim=8, axes_dims_rope=(2, 2, 4))	(1, channels, height, width) or latent image tensor; class-specific forward	float32	bria dit	vision/generative	2024-2025	diffusers_0.38.0_module=transformers.transformer_bria; ctor_verified_tiny_random_init_params=8328
ChromaTransformer2DModel	diffusers	diffusers.models.ChromaTransformer2DModel(patch_size=8, in_channels=4, num_layers=1, num_single_layers=1, attention_head_dim=8, num_attention_heads=1, joint_attention_dim=8, axes_dims_rope=(2, 2, 4), approximator_hidden_dim=8, approximator_layers=1)	(1, channels, height, width) or latent image tensor; class-specific forward	float32	chroma flux-like dit	vision/generative	2025-2026	diffusers_0.38.0_module=transformers.transformer_chroma; ctor_verified_tiny_random_init_params=5720; frontier diffusers family; may need large text/latent conditioning tensors for forward
ChronoEditTransformer3DModel	diffusers	diffusers.models.ChronoEditTransformer3DModel(patch_size=(1, 1, 1), num_attention_heads=1, attention_head_dim=8, in_channels=4, out_channels=4, text_dim=8, freq_dim=8, ffn_dim=8, num_layers=1, image_dim=8, added_kv_proj_dim=8)	(1, frames, channels, height, width) or latent video tensor; class-specific forward	float32	chronoedit video dit	video/generative	2025-2026	diffusers_0.38.0_module=transformers.transformer_chronoedit; ctor_verified_tiny_random_init_params=1956
CogVideoXTransformer3DModel	diffusers	diffusers.models.CogVideoXTransformer3DModel()	(1, frames, channels, height, width) or latent video tensor; class-specific forward	float32	cogvideox video dit	video/generative	2024-2025	diffusers_0.38.0_module=transformers.cogvideox_transformer_3d; cataloged from installed signature after tiny-probe invariant failure; use recipe/defaults with random init; frontier diffusers family; may need large text/latent conditioning tensors for forward
CogView3PlusTransformer2DModel	diffusers	diffusers.models.CogView3PlusTransformer2DModel(patch_size=8, in_channels=4, num_layers=1, attention_head_dim=8, num_attention_heads=1, out_channels=4, text_embed_dim=8, time_embed_dim=8, condition_dim=8, pos_embed_max_size=8, sample_size=8)	(1, channels, height, width) or latent image tensor; class-specific forward	float32	cogview3-plus image dit	vision/generative	2022-2024	diffusers_0.38.0_module=transformers.transformer_cogview3plus; ctor_verified_tiny_random_init_params=6888
CogView4Transformer2DModel	diffusers	diffusers.models.CogView4Transformer2DModel(patch_size=8, in_channels=4, out_channels=4, num_layers=1, attention_head_dim=8, num_attention_heads=1, text_embed_dim=8, time_embed_dim=8, condition_dim=8, pos_embed_max_size=8, sample_size=8, rope_axes_dim=(4, 4))	(1, channels, height, width) or latent image tensor; class-specific forward	float32	cogview4 image dit	vision/generative	2022-2024	diffusers_0.38.0_module=transformers.transformer_cogview4; ctor_verified_tiny_random_init_params=6888
ConsisIDTransformer3DModel	diffusers	diffusers.models.ConsisIDTransformer3DModel()	(1, frames, channels, height, width) or latent video tensor; class-specific forward	float32	consisid video dit	video/generative	2024-2025	diffusers_0.38.0_module=transformers.consisid_transformer_3d; cataloged from installed signature after tiny-probe invariant failure; use recipe/defaults with random init
ConsistencyDecoderVAE	diffusers	diffusers.models.ConsistencyDecoderVAE()	(1, channels, height, width) or latent image tensor; class-specific forward	float32	consistency decoder vae	vision/generative	2022-2024	diffusers_0.38.0_module=autoencoders.consistency_decoder_vae; cataloged from installed signature after tiny-probe invariant failure; use recipe/defaults with random init
ControlNetModel	diffusers	diffusers.models.ControlNetModel(block_out_channels=(8,), layers_per_block=1, norm_num_groups=1, cross_attention_dim=8, attention_head_dim=8)	(1, channels, height, width) or latent image tensor; class-specific forward	float32	controlnet	vision/generative	2022-2024	diffusers_0.38.0_module=controlnets.controlnet; cataloged from installed signature after tiny-probe invariant failure; use recipe/defaults with random init
ControlNetUnionModel	diffusers	diffusers.models.ControlNetUnionModel(block_out_channels=(8,), layers_per_block=1, norm_num_groups=1, cross_attention_dim=8, attention_head_dim=8, num_control_type=1)	(1, channels, height, width) or latent image tensor; class-specific forward	float32	controlnet-union	vision/generative	2022-2024	diffusers_0.38.0_module=controlnets.controlnet_union; cataloged from installed signature after tiny-probe invariant failure; use recipe/defaults with random init
ControlNetXSAdapter	diffusers	diffusers.models.ControlNetXSAdapter(conditioning_channels=4, num_attention_heads=1, block_out_channels=(8, 8, 8, 8), cross_attention_dim=8, down_block_types=('CrossAttnDownBlock2D', 'CrossAttnDownBlock2D', 'CrossAttnDownBlock2D', 'DownBlock2D'), sample_size=8)	(1, channels, height, width) or latent image tensor; class-specific forward	float32	controlnet-xs	vision/generative	2022-2024	diffusers_0.38.0_module=controlnets.controlnet_xs; ctor_verified_tiny_random_init_params=11302072
CosmosControlNetModel	diffusers	diffusers.models.CosmosControlNetModel()	(1, frames, channels, height, width) or latent video tensor; class-specific forward	float32	cosmos video dit	video/generative	2024-2025	diffusers_0.38.0_module=controlnets.controlnet_cosmos; cataloged from installed signature after tiny-probe invariant failure; use recipe/defaults with random init; frontier diffusers family; may need large text/latent conditioning tensors for forward
CosmosTransformer3DModel	diffusers	diffusers.models.CosmosTransformer3DModel()	(1, frames, channels, height, width) or latent video tensor; class-specific forward	float32	cosmos video dit	video/generative	2024-2025	diffusers_0.38.0_module=transformers.transformer_cosmos; cataloged from installed signature after tiny-probe invariant failure; use recipe/defaults with random init; frontier diffusers family; may need large text/latent conditioning tensors for forward
DiTTransformer2DModel	diffusers	diffusers.models.DiTTransformer2DModel(num_attention_heads=1, attention_head_dim=8, in_channels=4, num_layers=1, norm_num_groups=1, sample_size=8, patch_size=8)	(1, channels, height, width) or latent image tensor; class-specific forward	float32	dit	vision/generative	2022-2024	diffusers_0.38.0_module=transformers.dit_transformer_2d; ctor_verified_tiny_random_init_params=15912
EasyAnimateTransformer3DModel	diffusers	diffusers.models.EasyAnimateTransformer3DModel()	(1, frames, channels, height, width) or latent video tensor; class-specific forward	float32	easyanimate video dit	video/generative	2024-2025	diffusers_0.38.0_module=transformers.transformer_easyanimate; cataloged from installed signature after tiny-probe invariant failure; use recipe/defaults with random init
ErnieImageTransformer2DModel	diffusers	diffusers.models.ErnieImageTransformer2DModel(hidden_size=8, num_attention_heads=1, num_layers=1, ffn_hidden_size=8, in_channels=4, out_channels=4, patch_size=8, text_in_dim=8, rope_axes_dim=(2, 2, 4))	(1, channels, height, width) or latent image tensor; class-specific forward	float32	ernie image dit	vision/generative	2025-2026	diffusers_0.38.0_module=transformers.transformer_ernie_image; ctor_verified_tiny_random_init_params=5560
Flux2Transformer2DModel	diffusers	diffusers.models.Flux2Transformer2DModel(patch_size=8, in_channels=4, num_layers=1, num_single_layers=1, attention_head_dim=8, num_attention_heads=1, joint_attention_dim=8, axes_dims_rope=(2, 2, 4))	(1, channels, height, width) or latent image tensor; class-specific forward	float32	flux-2 mmdit	vision/generative	2025-2026	diffusers_0.38.0_module=transformers.transformer_flux2; ctor_verified_tiny_random_init_params=10000; frontier diffusers family; may need large text/latent conditioning tensors for forward
FluxControlNetModel	diffusers	diffusers.models.FluxControlNetModel(patch_size=8, in_channels=4, num_layers=1, num_single_layers=1, attention_head_dim=8, num_attention_heads=1, joint_attention_dim=8, pooled_projection_dim=8, axes_dims_rope=(2, 2, 4), conditioning_embedding_channels=4)	(1, channels, height, width) or latent image tensor; class-specific forward	float32	flux mmdit	vision/generative	2024-2025	diffusers_0.38.0_module=controlnets.controlnet_flux; ctor_verified_tiny_random_init_params=21156; frontier diffusers family; may need large text/latent conditioning tensors for forward
FluxMultiControlNetModel	diffusers	diffusers.models.FluxMultiControlNetModel([diffusers.models.FluxControlNetModel(num_layers=1, num_single_layers=1, attention_head_dim=8, num_attention_heads=1, joint_attention_dim=8, pooled_projection_dim=8, axes_dims_rope=[2,2,4])])	(1, channels, height, width) or latent image tensor; class-specific forward	float32	flux mmdit	vision/generative	2024-2025	diffusers_0.38.0_module=controlnets.controlnet_flux; container recipe; child module randomized; constructor not counted in probe; frontier diffusers family; may need large text/latent conditioning tensors for forward
FluxTransformer2DModel	diffusers	diffusers.models.FluxTransformer2DModel(patch_size=8, in_channels=4, num_layers=1, num_single_layers=1, attention_head_dim=8, num_attention_heads=1, joint_attention_dim=8, pooled_projection_dim=8, axes_dims_rope=(2, 2, 4))	(1, channels, height, width) or latent image tensor; class-specific forward	float32	flux mmdit	vision/generative	2024-2025	diffusers_0.38.0_module=transformers.transformer_flux; ctor_verified_tiny_random_init_params=8472; frontier diffusers family; may need large text/latent conditioning tensors for forward
GlmImageTransformer2DModel	diffusers	diffusers.models.GlmImageTransformer2DModel(patch_size=8, in_channels=4, out_channels=4, num_layers=1, attention_head_dim=8, num_attention_heads=1, text_embed_dim=8, time_embed_dim=8, condition_dim=8, prior_vq_quantizer_codebook_size=8)	(1, channels, height, width) or latent image tensor; class-specific forward	float32	glm image dit	vision/generative	2025-2026	diffusers_0.38.0_module=transformers.transformer_glm_image; ctor_verified_tiny_random_init_params=7040
HeliosTransformer3DModel	diffusers	diffusers.models.HeliosTransformer3DModel(patch_size=(1, 1, 1), num_attention_heads=1, attention_head_dim=8, in_channels=4, out_channels=4, text_dim=8, freq_dim=8, ffn_dim=8, num_layers=1, added_kv_proj_dim=8, rope_dim=(2, 2, 4))	(1, frames, channels, height, width) or latent video tensor; class-specific forward	float32	helios video dit	video/generative	2025-2026	diffusers_0.38.0_module=transformers.transformer_helios; ctor_verified_tiny_random_init_params=4140
HiDreamImageTransformer2DModel	diffusers	diffusers.models.HiDreamImageTransformer2DModel()	(1, channels, height, width) or latent image tensor; class-specific forward	float32	hidream image dit	vision/generative	2024-2025	diffusers_0.38.0_module=transformers.transformer_hidream_image; cataloged from installed signature after tiny-probe invariant failure; use recipe/defaults with random init
HunyuanDiT2DControlNetModel	diffusers	diffusers.models.HunyuanDiT2DControlNetModel(conditioning_channels=4, num_attention_heads=1, attention_head_dim=8, in_channels=4, patch_size=8, sample_size=8, hidden_size=8, transformer_num_layers=1, cross_attention_dim=8, cross_attention_dim_t5=8, pooled_projection_dim=8, use_style_cond_and_image_meta_size=8)	(1, channels, height, width) or latent image tensor; class-specific forward	float32	hunyuan-dit	vision/generative	2022-2024	diffusers_0.38.0_module=controlnets.controlnet_hunyuan; ctor_verified_tiny_random_init_params=59784; frontier diffusers family; may need large text/latent conditioning tensors for forward
HunyuanDiT2DModel	diffusers	diffusers.models.HunyuanDiT2DModel(num_attention_heads=1, attention_head_dim=8, in_channels=4, patch_size=8, sample_size=8, hidden_size=8, num_layers=1, cross_attention_dim=8, cross_attention_dim_t5=8, pooled_projection_dim=8, use_style_cond_and_image_meta_size=8)	(1, channels, height, width) or latent image tensor; class-specific forward	float32	hunyuan-dit	vision/generative	2022-2024	diffusers_0.38.0_module=transformers.hunyuan_transformer_2d; ctor_verified_tiny_random_init_params=65776; frontier diffusers family; may need large text/latent conditioning tensors for forward
HunyuanDiT2DMultiControlNetModel	diffusers	diffusers.models.HunyuanDiT2DMultiControlNetModel([diffusers.models.HunyuanDiT2DControlNetModel(transformer_num_layers=1, hidden_size=8, num_attention_heads=1, attention_head_dim=8, cross_attention_dim=8, cross_attention_dim_t5=8, pooled_projection_dim=8)])	(1, channels, height, width) or latent image tensor; class-specific forward	float32	hunyuan-dit	vision/generative	2022-2024	diffusers_0.38.0_module=controlnets.controlnet_hunyuan; container recipe; child module randomized; constructor not counted in probe; frontier diffusers family; may need large text/latent conditioning tensors for forward
HunyuanImageTransformer2DModel	diffusers	diffusers.models.HunyuanImageTransformer2DModel(in_channels=4, out_channels=4, num_attention_heads=1, attention_head_dim=8, num_layers=1, num_single_layers=1, num_refiner_layers=1, patch_size=(1, 1), text_embed_dim=8, text_embed_2_dim=8, rope_axes_dim=(4, 4))	(1, channels, height, width) or latent image tensor; class-specific forward	float32	hunyuanimage dit	vision/generative	2022-2024	diffusers_0.38.0_module=transformers.transformer_hunyuanimage; ctor_verified_tiny_random_init_params=4240540; frontier diffusers family; may need large text/latent conditioning tensors for forward
HunyuanVideo15Transformer3DModel	diffusers	diffusers.models.HunyuanVideo15Transformer3DModel()	(1, frames, channels, height, width) or latent video tensor; class-specific forward	float32	hunyuanvideo-1.5 dit	video/generative	2025-2026	diffusers_0.38.0_module=transformers.transformer_hunyuan_video15; cataloged from installed signature after tiny-probe invariant failure; use recipe/defaults with random init; frontier diffusers family; may need large text/latent conditioning tensors for forward
HunyuanVideoFramepackTransformer3DModel	diffusers	diffusers.models.HunyuanVideoFramepackTransformer3DModel()	(1, frames, channels, height, width) or latent video tensor; class-specific forward	float32	hunyuanvideo-framepack dit	video/generative	2022-2024	diffusers_0.38.0_module=transformers.transformer_hunyuan_video_framepack; cataloged from installed signature after tiny-probe invariant failure; use recipe/defaults with random init; frontier diffusers family; may need large text/latent conditioning tensors for forward
